frequency_hz,bridge_voltage_peak_v
0,0
16.66666666665,0
33.3333333333,0
49.99999999995,40.9222024710869
66.6666666666,0
83.33333333325,0
99.9999999999,0
116.66666666655,0
133.3333333332,0
149.99999999985,0.123479912390292
166.6666666665,0
183.33333333315,0
199.9999999998,0
216.66666666645,0
233.3333333331,0
249.99999999975,0.126197135420887
266.6666666664,0
283.33333333305,0
299.9999999997,0
316.66666666635,0
333.333333333,0
349.99999999965,0.185448896247486
366.6666666663,0
383.33333333295,0
399.9999999996,0
416.66666666625,0
433.3333333329,0
449.99999999955,0.260565546198811
466.6666666662,0
483.33333333285,0
499.9999999995,0
516.66666666615,0
533.3333333328,0
549.99999999945,0.289003654426057
566.6666666661,0
583.33333333275,0
599.9999999994,0
616.66666666605,0
633.3333333327,0
649.99999999935,0.368667555813008
666.666666666,0
683.33333333265,0
699.9999999993,0
716.66666666595,0
733.3333333326,0
749.99999999925,0.347420766462741
766.6666666659,0
783.33333333255,0
799.9999999992,0
816.66666666585,0
833.3333333325,0
849.99999999915,0.297915543161393
866.6666666658,0
883.33333333245,0
899.9999999991,0
916.66666666575,0
933.3333333324,0
949.99999999905,0.185070372535157
966.6666666657,0
983.33333333235,0
999.999999999,0
1016.66666666565,0
1033.3333333323,0
1049.99999999895,0.0558702098952565
1066.6666666656,0
1083.33333333225,0
1099.9999999989,0
1116.66666666555,0
1133.3333333322,0
1149.99999999885,0.16515330501894
1166.6666666655,0
1183.33333333215,0
1199.9999999988,0
1216.66666666545,0
1233.3333333321,0
1249.99999999875,0.262573795127386
1266.6666666654,0
1283.33333333205,0
1299.9999999987,0
1316.66666666535,0
1333.333333332,0
1349.99999999865,0.274252144983406
1366.6666666653,0
1383.33333333195,0
1399.9999999986,0
1416.66666666525,0
1433.3333333319,0
1449.99999999855,0.100371338309304
1466.6666666652,0
1483.33333333185,0
1499.9999999985,0
1516.66666666515,0
1533.3333333318,0
1549.99999999845,0.0670034255347415
1566.6666666651,0
1583.33333333175,0
1599.9999999984,0
1616.66666666505,0
1633.3333333317,0
1649.99999999835,0.033331168889709
1666.666666665,0
1683.33333333165,0
1699.9999999983,0
1716.66666666495,0
1733.3333333316,0
1749.99999999825,0.1979599906664
1766.6666666649,0
1783.33333333155,0
1799.9999999982,0
1816.66666666485,0
1833.3333333315,0
1849.99999999815,0.333242430985429
1866.6666666648,0
1883.33333333145,0
1899.9999999981,0
1916.66666666475,0
1933.3333333314,0
1949.99999999805,0.232127248991417
1966.6666666647,0
1983.33333333135,0
1999.999999998,0
2016.66666666465,0
2033.3333333313,0
2049.99999999795,0.15323536199155
2066.6666666646,0
2083.33333333125,0
2099.9999999979,0
2116.66666666455,0
2133.3333333312,0
2149.99999999785,0.367134347458856
2166.6666666645,0
2183.33333333115,0
2199.9999999978,0
2216.66666666445,0
2233.3333333311,0
2249.99999999775,0.0340066030359415
2266.6666666644,0
2283.33333333105,0
2299.9999999977,0
2316.66666666435,0
2333.333333331,0
2349.99999999765,0.175995842803853
2366.6666666643,0
2383.33333333095,0
2399.9999999976,0
2416.66666666425,0
2433.3333333309,0
2449.99999999755,0.0960233677359445
2466.6666666642,0
2483.33333333085,0
2499.9999999975,0
2516.66666666415,0
2533.3333333308,0
2549.99999999745,0.311068098897836
2566.6666666641,0
2583.33333333075,0
2599.9999999974,0
2616.66666666405,0
2633.3333333307,0
2649.99999999735,0.0694265669547876
2666.666666664,0
2683.33333333065,0
2699.9999999973,0
2716.66666666395,0
2733.3333333306,0
2749.99999999725,0.154196552617251
2766.6666666639,0
2783.33333333055,0
2799.9999999972,0
2816.66666666385,0
2833.3333333305,0
2849.99999999715,0.429414605962273
2866.6666666638,0
2883.33333333045,0
2899.9999999971,0
2916.66666666375,0
2933.3333333304,0
2949.99999999705,0.0561706275059923
2966.6666666637,0
2983.33333333035,0
2999.999999997,0
3016.66666666365,0
3033.3333333303,0
3049.99999999695,0.250813684930678
3066.6666666636,0
3083.33333333025,0
3099.9999999969,0
3116.66666666355,0
3133.3333333302,0
3149.99999999685,0.34186420438922
3166.6666666635,0
3183.33333333015,0
3199.9999999968,0
3216.66666666345,0
3233.3333333301,0
3249.99999999675,0.495299548973678
3266.6666666634,0
3283.33333333005,0
3299.9999999967,0
3316.66666666335,0
3333.33333333,0
3349.99999999665,0.14308390637632
3366.6666666633,0
3383.33333332995,0
3399.9999999966,0
3416.66666666325,0
3433.3333333299,0
3449.99999999655,0.157500805813308
3466.6666666632,0
3483.33333332985,0
3499.9999999965,0
3516.66666666315,0
3533.3333333298,0
3549.99999999645,0.115390360686002
3566.6666666631,0
3583.33333332975,0
3599.9999999964,0
3616.66666666305,0
3633.3333333297,0
3649.99999999635,0.0250691301535874
3666.666666663,0
3683.33333332965,0
3699.9999999963,0
3716.66666666295,0
3733.3333333296,0
3749.99999999625,0.103705714444404
3766.6666666629,0
3783.33333332955,0
3799.9999999962,0
3816.66666666285,0
3833.3333333295,0
3849.99999999615,0.213460424643174
3866.6666666628,0
3883.33333332945,0
3899.9999999961,0
3916.66666666275,0
3933.3333333294,0
3949.99999999605,0.0320011335648122
3966.6666666627,0
3983.33333332935,0
3999.999999996,0
4016.66666666265,0
4033.3333333293,0
4049.99999999595,0.0828197621846031
4066.6666666626,0
4083.33333332925,0
4099.9999999959,0
4116.66666666255,0
4133.3333333292,0
4149.99999999585,0.0591842427957295
4166.6666666625,0
4183.33333332915,0
4199.9999999958,0
4216.66666666245,0
4233.3333333291,0
4249.99999999575,0.0300135546841029
4266.6666666624,0
4283.33333332905,0
4299.9999999957,0
4316.66666666235,0
4333.333333329,0
4349.99999999565,0.0231621509356632
4366.6666666623,0
4383.33333332895,0
4399.9999999956,0
4416.66666666225,0
4433.3333333289,0
4449.99999999555,0.0610824903482656
4466.6666666622,0
4483.33333332885,0
4499.9999999955,0
4516.66666666215,0
4533.3333333288,0
4549.99999999545,0.100003598424494
4566.6666666621,0
4583.33333332875,0
4599.9999999954,0
4616.66666666205,0
4633.3333333287,0
4649.99999999535,0.000600754014290591
4666.666666662,0
4683.33333332865,0
4699.9999999953,0
4716.66666666195,0
4733.3333333286,0
4749.99999999525,0.055357624880022
4766.6666666619,0
4783.33333332855,0
4799.9999999952,0
4816.66666666185,0
4833.3333333285,0
4849.99999999515,0.109192663059182
4866.6666666618,0
4883.33333332845,0
4899.9999999951,0
4916.66666666175,0
4933.3333333284,0
4949.99999999505,0.194003292127357
4966.6666666617,0
4983.33333332835,0
4999.999999995,0
5016.66666666165,0
5033.3333333283,0
5049.99999999495,0.0423670444331027
5066.6666666616,0
5083.33333332825,0
5099.9999999949,0
5116.66666666155,0
5133.3333333282,0
5149.99999999485,0.116746493080071
5166.6666666615,0
5183.33333332815,0
5199.9999999948,0
5216.66666666145,0
5233.3333333281,0
5249.99999999475,0.00635645048766922
5266.6666666614,0
5283.33333332805,0
5299.9999999947,0
5316.66666666135,0
5333.333333328,0
5349.99999999465,0.0213925680918248
5366.6666666613,0
5383.33333332795,0
5399.9999999946,0
5416.66666666125,0
5433.3333333279,0
5449.99999999455,0.080918309986493
5466.6666666612,0
5483.33333332785,0
5499.9999999945,0
5516.66666666115,0
5533.3333333278,0
5549.99999999445,0.0308098583235069
5566.6666666611,0
5583.33333332775,0
5599.9999999944,0
5616.66666666105,0
5633.3333333277,0
5649.99999999435,0.0917279644711508
5666.666666661,0
5683.33333332765,0
5699.9999999943,0
5716.66666666095,0
5733.3333333276,0
5749.99999999425,0.192047415169017
5766.6666666609,0
5783.33333332755,0
5799.9999999942,0
5816.66666666085,0
5833.3333333275,0
5849.99999999415,0.11694387402112
5866.6666666608,0
5883.33333332745,0
5899.9999999941,0
5916.66666666075,0
5933.3333333274,0
5949.99999999405,0.0917022882586044
5966.6666666607,0
5983.33333332735,0
5999.999999994,0
6016.66666666065,0
6033.3333333273,0
6049.99999999395,0.0952478530427495
6066.6666666606,0
6083.33333332725,0
6099.9999999939,0
6116.66666666055,0
6133.3333333272,0
6149.99999999385,0.0698934235987761
6166.6666666605,0
6183.33333332715,0
6199.9999999938,0
6216.66666666045,0
6233.3333333271,0
6249.99999999375,0.0421409328303555
6266.6666666604,0
6283.33333332705,0
6299.9999999937,0
6316.66666666035,0
6333.333333327,0
6349.99999999365,0.10408616504297
6366.6666666603,0
6383.33333332695,0
6399.9999999936,0
6416.66666666025,0
6433.3333333269,0
6449.99999999355,0.239145897316515
6466.6666666602,0
6483.33333332685,0
6499.9999999935,0
6516.66666666015,0
6533.3333333268,0
6549.99999999345,0.130143363345456
6566.6666666601,0
6583.33333332675,0
6599.9999999934,0
6616.66666666005,0
6633.3333333267,0
6649.99999999335,0.0742907793239416
6666.66666666,0
6683.33333332665,0
6699.9999999933,0
6716.66666665995,0
6733.3333333266,0
6749.99999999325,0.0599093153652395
6766.6666666599,0
6783.33333332655,0
6799.9999999932,0
6816.66666665985,0
6833.3333333265,0
6849.99999999315,0.136781526132356
6866.6666666598,0
6883.33333332645,0
6899.9999999931,0
6916.66666665975,0
6933.3333333264,0
6949.99999999305,0.0621399808561225
6966.6666666597,0
6983.33333332635,0
6999.999999993,0
7016.66666665965,0
7033.3333333263,0
7049.99999999295,0.058431630087168
7066.6666666596,0
7083.33333332625,0
7099.9999999929,0
7116.66666665955,0
7133.3333333262,0
7149.99999999285,0.114001715799446
7166.6666666595,0
7183.33333332615,0
7199.9999999928,0
7216.66666665945,0
7233.3333333261,0
7249.99999999275,0.0374760672368429
7266.6666666594,0
7283.33333332605,0
7299.9999999927,0
7316.66666665935,0
7333.333333326,0
7349.99999999265,0.0337770159449454
7366.6666666593,0
7383.33333332595,0
7399.9999999926,0
7416.66666665925,0
7433.3333333259,0
7449.99999999255,0.0314056818526742
7466.6666666592,0
7483.33333332585,0
7499.9999999925,0
7516.66666665915,0
7533.3333333258,0
7549.99999999245,0.0248145415090993
7566.6666666591,0
7583.33333332575,0
7599.9999999924,0
7616.66666665905,0
7633.3333333257,0
7649.99999999235,0.0174253646930754
7666.666666659,0
7683.33333332565,0
7699.9999999923,0
7716.66666665895,0
7733.3333333256,0
7749.99999999225,0.0260081813284832
7766.6666666589,0
7783.33333332555,0
7799.9999999922,0
7816.66666665885,0
7833.3333333255,0
7849.99999999215,0.126845634497126
7866.6666666588,0
7883.33333332545,0
7899.9999999921,0
7916.66666665875,0
7933.3333333254,0
7949.99999999205,0.0159890339999115
7966.6666666587,0
7983.33333332535,0
7999.999999992,0
8016.66666665865,0
8033.3333333253,0
8049.99999999195,0.0542105584427359
8066.6666666586,0
8083.33333332525,0
8099.9999999919,0
8116.66666665855,0
8133.3333333252,0
8149.99999999185,0.0480778336399326
8166.6666666585,0
8183.33333332515,0
8199.9999999918,0
8216.66666665845,0
8233.3333333251,0
8249.99999999175,0.0211015230556731
8266.6666666584,0
8283.33333332505,0
8299.9999999917,0
8316.66666665835,0
8333.333333325,0
8349.99999999165,0.0794157449377016
8366.6666666583,0
8383.33333332495,0
8399.9999999916,0
8416.66666665825,0
8433.3333333249,0
8449.99999999155,0.0673457808508226
8466.6666666582,0
8483.33333332485,0
8499.9999999915,0
8516.66666665815,0
8533.3333333248,0
8549.99999999145,0.0578610714473725
8566.6666666581,0
8583.33333332475,0
8599.9999999914,0
8616.66666665805,0
8633.3333333247,0
8649.99999999135,0.0104246761680189
8666.666666658,0
8683.33333332465,0
8699.9999999913,0
8716.66666665795,0
8733.3333333246,0
8749.99999999125,0.0518033191816261
8766.6666666579,0
8783.33333332455,0
8799.9999999912,0
8816.66666665785,0
8833.3333333245,0
8849.99999999115,0.0199739489060043
8866.6666666578,0
8883.33333332445,0
8899.9999999911,0
8916.66666665775,0
8933.3333333244,0
8949.99999999105,0.135112507540858
8966.6666666577,0
8983.33333332435,0
8999.999999991,0
9016.66666665765,0
9033.3333333243,0
9049.99999999095,0.0111761456163735
9066.6666666576,0
9083.33333332425,0
9099.9999999909,0
9116.66666665755,0
9133.3333333242,0
9149.99999999085,0.0957143413035755
9166.6666666575,0
9183.33333332415,0
9199.9999999908,0
9216.66666665745,0
9233.3333333241,0
9249.99999999075,0.0666810886695485
9266.6666666574,0
9283.33333332405,0
9299.9999999907,0
9316.66666665735,0
9333.333333324,0
9349.99999999065,0.0657932066561213
9366.6666666573,0
9383.33333332395,0
9399.9999999906,0
9416.66666665725,0
9433.3333333239,0
9449.99999999055,0.00658212785887522
9466.6666666572,0
9483.33333332385,0
9499.9999999905,0
9516.66666665715,0
9533.3333333238,0
9549.99999999045,0.033517690583266
9566.6666666571,0
9583.33333332375,0
9599.9999999904,0
9616.66666665705,0
9633.3333333237,0
9649.99999999035,0.105930507673312
9666.666666657,0
9683.33333332365,0
9699.9999999903,0
9716.66666665695,0
9733.3333333236,0
9749.99999999025,0.0858094106854193
9766.6666666569,0
9783.33333332355,0
9799.9999999902,0
9816.66666665685,0
9833.3333333235,0
9849.99999999015,0.124961466517325
9866.6666666568,0
9883.33333332345,0
9899.9999999901,0
9916.66666665675,0
9933.3333333234,0
9949.99999999005,0.000881212144417511
9966.6666666567,0
9983.33333332335,0
9999.99999999,0
10016.6666666566,0
10033.3333333233,0
10049.9999999899,0.0533292387183253
10066.6666666566,0
10083.3333333232,0
10099.9999999899,0
10116.6666666565,0
10133.3333333232,0
10149.9999999899,0.0622731992978962
10166.6666666565,0
10183.3333333231,0
10199.9999999898,0
10216.6666666564,0
10233.3333333231,0
10249.9999999897,0.077682565460946
10266.6666666564,0
10283.333333323,0
10299.9999999897,0
10316.6666666563,0
10333.333333323,0
10349.9999999896,0.0777837439069849
10366.6666666563,0
10383.3333333229,0
10399.9999999896,0
10416.6666666562,0
10433.3333333229,0
10449.9999999895,0.0567522965708819
10466.6666666562,0
10483.3333333228,0
10499.9999999895,0
10516.6666666561,0
10533.3333333228,0
10549.9999999894,0.02984943343646
10566.6666666561,0
10583.3333333227,0
10599.9999999894,0
10616.666666656,0
10633.3333333227,0
10649.9999999893,0.0647416289764023
10666.666666656,0
10683.3333333226,0
10699.9999999893,0
10716.6666666559,0
10733.3333333226,0
10749.9999999892,0.0570322842368936
10766.6666666559,0
10783.3333333225,0
10799.9999999892,0
10816.6666666558,0
10833.3333333225,0
10849.9999999891,0.102543365297793
10866.6666666558,0
10883.3333333224,0
10899.9999999891,0
10916.6666666557,0
10933.3333333224,0
10949.999999989,0.00536914659708965
10966.6666666557,0
10983.3333333223,0
10999.999999989,0
11016.6666666556,0
11033.3333333223,0
11049.9999999889,0.0122572831832981
11066.6666666556,0
11083.3333333222,0
11099.9999999889,0
11116.6666666555,0
11133.3333333222,0
11149.9999999888,0.00273775338968972
11166.6666666555,0
11183.3333333221,0
11199.9999999888,0
11216.6666666554,0
11233.3333333221,0
11249.9999999887,0.0148234015508445
11266.6666666554,0
11283.333333322,0
11299.9999999887,0
11316.6666666553,0
11333.333333322,0
11349.9999999886,0.00760437906539069
11366.6666666553,0
11383.3333333219,0
11399.9999999886,0
11416.6666666552,0
11433.3333333219,0
11449.9999999885,0.00258512594649832
11466.6666666552,0
11483.3333333218,0
11499.9999999885,0
11516.6666666551,0
11533.3333333218,0
11549.9999999884,0.013777738790255
11566.6666666551,0
11583.3333333217,0
11599.9999999884,0
11616.666666655,0
11633.3333333217,0
11649.9999999883,0.0271072185613312
11666.666666655,0
11683.3333333216,0
11699.9999999883,0
11716.6666666549,0
11733.3333333216,0
11749.9999999882,0.0311237480302255
11766.6666666549,0
11783.3333333215,0
11799.9999999882,0
11816.6666666548,0
11833.3333333215,0
11849.9999999881,0.0585761707769547
11866.6666666548,0
11883.3333333214,0
11899.9999999881,0
11916.6666666547,0
11933.3333333214,0
11949.999999988,0.0633505149091688
11966.6666666547,0
11983.3333333213,0
11999.999999988,0
12016.6666666546,0
12033.3333333213,0
12049.9999999879,0.0216070754672811
12066.6666666546,0
12083.3333333213,0
12099.9999999879,0
12116.6666666545,0
12133.3333333212,0
12149.9999999878,0.0629455643172067
12166.6666666545,0
12183.3333333211,0
12199.9999999878,0
12216.6666666544,0
12233.3333333211,0
12249.9999999877,0.0421363079528113
12266.6666666544,0
12283.333333321,0
12299.9999999877,0
12316.6666666543,0
12333.333333321,0
12349.9999999876,0.0470327038142317
12366.6666666543,0
12383.3333333209,0
12399.9999999876,0
12416.6666666542,0
12433.3333333209,0
12449.9999999875,0.0340024020376326
12466.6666666542,0
12483.3333333208,0
12499.9999999875,0
12516.6666666541,0
12533.3333333208,0
12549.9999999874,0.0561366225793087
12566.6666666541,0
12583.3333333207,0
12599.9999999874,0
12616.666666654,0
12633.3333333207,0
12649.9999999873,0.0734361124010005
12666.666666654,0
12683.3333333206,0
12699.9999999873,0
12716.6666666539,0
12733.3333333206,0
12749.9999999872,0.00790971210693127
12766.6666666539,0
12783.3333333205,0
