name,inductance_h,rms_current_a,peak_current_a,stored_energy_j,required_copper_area_mm2,minimum_parallel_strands,initial_al_turns,flux_limited_turns,analysis_turns,core_count,required_loaded_al_nh_per_turn2,required_al_retention,bias_field_oe,predicted_al_retention,predicted_inductance_h,predicted_peak_flux_t,ripple_pp_a,ripple_frequency_hz,ripple_flux_peak_t,predicted_core_loss_w,maximum_dcr_ohm,copper_loss_at_maximum_dcr_w,excitation
LDC,0.0005,15.08,15.65,0.061230625000000004,3.77,20,26.919095102908276,24.151234567901234,28,3,212.58503401360545,0.9242827565808932,37.459752402804014,0.928400147926889,0.0005022273440225299,0.17327729131288788,1.2314814814814814,20000.0,0.0067872656607224505,0.0958551272499048,0.015,3.4110959999999997,20 kHz triangular ripple superimposed on DC bias
L1,0.00015,17.33,27.0,0.054674999999999994,4.3325,23,18.05787796286538,18.749999999999996,19,2,207.75623268698058,0.9032879682042634,43.85406887868201,0.908493685043256,0.0001508644613382831,0.19850587018195145,2.0,40000.0,0.007309941520467836,0.19005115207579376,0.012,3.6039467999999992,50 Hz bipolar current with inverter switching ripple
L2,7.5e-05,17.33,26.0,0.025349999999999998,4.3325,23,18.05787796286538,18.055555555555554,19,1,207.75623268698058,0.9032879682042634,42.22984410539749,0.9136718385363353,7.586217275367192e-05,0.19224332276758965,2.0,40000.0,0.007309941520467836,0.09502557603789688,0.012,3.6039467999999992,50 Hz bipolar current with attenuated switching ripple
