harmonic_number,grid_current_rms_a
1,17.3128215621419
2,0.00109373467387903
3,0.0888530364954586
4,0.0113505221846527
5,0.170717491354
6,0.00172509081740667
7,0.175396450497748
8,0.0239960165586515
9,0.110759049519845
10,0.0351412276435835
11,0.069705592193323
12,0.0280462664061673
13,0.160421106789017
14,0.0324950089745706
15,0.162570884705314
16,0.0284927896179735
17,0.171321695230305
18,0.0220499558213975
19,0.072887372373284
20,0.0267836837919711
21,0.0384102381935174
22,0.0135115944660754
23,0.0881155016087632
24,0.00742269051100495
25,0.110250024100284
26,0.00988459942908674
27,0.0631300513293385
28,0.0049822938851198
29,0.00793418559448751
30,0.00697647504609661
31,0.0641156482678344
32,0.00273520435106927
33,0.0637520587210924
34,0.00984817776009987
35,0.0388982717598881
36,0.00491094714991976
37,0.0306916371768769
38,0.00807066938309596
39,0.0285508852480385
40,0.00960800035564768
41,0.0329544376544012
42,0.00450028418673099
43,0.0202328520667363
44,0.00547802187280891
45,0.0158330984404232
46,0.00616673407632097
47,0.0611935936316752
48,0.0114904431183479
49,0.0394413538045907
50,0.0104619677235176
