frequency_hz,grid_current_gain_db_a_per_v,grid_current_phase_deg,pcc_voltage_gain
10,21.7803709976818,-10.8927880167708,0.801226718498913
10.0481058577471,21.778876440503,-10.943927034217,0.801121168745432
10.0964431328491,21.7773679912262,-10.995294296569,0.801014660628873
10.1450129385591,21.775845525617,-11.0468906567394,0.800907186007427
10.1938163934856,21.7743089184213,-11.0987169684806,0.800798736680591
10.242854621618,21.7727580433587,-11.150774086348,0.800689304388944
10.2921287523532,21.7711927731158,-11.2030628656624,0.80057888081393
10.3416399205207,21.7696129793395,-11.2555841624726,0.800467457577635
10.3913892664095,21.7680185326302,-11.3083388335166,0.800355026242583
10.4413779357939,21.7664093025355,-11.3613277361825,0.800241578311518
10.4916070799602,21.7647851575428,-11.4145517284684,0.800127105227206
10.5420778557329,21.7631459650734,-11.4680116689423,0.80001159837223
10.5927914255015,21.7614915914751,-11.5217084167007,0.79989504906879
10.6437489572475,21.7598219020158,-11.5756428313269,0.799777448578518
10.6949516245708,21.7581367608766,-11.6298157728486,0.799658788102279
10.7464006067171,21.7564360311455,-11.6842281016946,0.799539058779996
10.7980970886051,21.7547195748099,-11.7388806786508,0.799418251690464
10.8500422608534,21.7529872527506,-11.7937743648163,0.799296357851176
10.9022373198085,21.7512389247346,-11.8489100215574,0.799173368218156
10.9546834675716,21.7494744494086,-11.9042885104623,0.799049273685788
11.0073819120271,21.7476936842921,-11.959910693294,0.798924065086662
11.0603338668699,21.7458964857707,-12.0157774319433,0.798797733191412
11.1135405516334,21.7440827090895,-12.0718895883805,0.798670268708573
11.1670031917177,21.7422522083462,-12.1282480246068,0.798541662284434
11.2207230184179,21.7404048364846,-12.1848536026043,0.798411904502897
11.2747012689522,21.7385404452874,-12.2417071842865,0.798280985885349
11.3289391864907,21.7366588853702,-12.2988096314464,0.798148896890531
11.3834380201837,21.7347600061741,-12.3561618057056,0.798015627914421
11.4381990251909,21.7328436559595,-12.4137645684609,0.797881169290117
11.4932234627097,21.7309096817991,-12.4716187808315,0.797745511287729
11.548512600005,21.7289579295717,-12.529725303605,0.79760864411428
11.6040677104376,21.7269882439547,-12.5880849971822,0.797470557913608
11.6598900734942,21.7250004684185,-12.6466987215214,0.797331242766281
11.7159809748164,21.722994445219,-12.7055673360825,0.797190688689513
11.7723417062305,21.7209700153914,-12.7646916997693,0.797048885637094
11.8289735657775,21.7189270187437,-12.8240726708714,0.796905823499322
11.8858778577424,21.7168652938499,-12.8837111070057,0.796761492102943
11.9430558926848,21.7147846780434,-12.9436078650565,0.796615881211104
12.0005089874687,21.7126850074109,-13.003763801115,0.796468980523304
12.058238465293,21.7105661167853,-13.064179770418,0.796320779675365
12.1162456557222,21.7084278397398,-13.124856627286,0.7961712682394
12.1745318947165,21.7062700085809,-13.1857952250596,0.796020435723801
12.2330985246629,21.7040924543425,-13.2469964160363,0.795868271573221
12.2919468944062,21.7018950067792,-13.3084610514053,0.79571476516858
12.3510783592799,21.6996774943599,-13.3701899811824,0.795559905827071
12.4104942811374,21.6974397442617,-13.432184054143,0.795403682802174
12.4701960283833,21.6951815823634,-13.4944441177556,0.795246085283688
12.5301849760052,21.6929028332395,-13.5569710181126,0.795087102397763
12.5904625056053,21.6906033201535,-13.6197655998624,0.794926723206946
12.6510300054317,21.6882828650524,-13.6828287061384,0.794764936710242
12.7118888704112,21.6859412885599,-13.746161178489,0.79460173184317
12.7730405021809,21.6835784099708,-13.8097638568053,0.794437097477849
12.8344863091204,21.6811940472447,-13.8736375792489,0.79427102242308
12.8962277063848,21.678788017,-13.9377831821779,0.794103495424445
12.9582661159365,21.6763601345079,-14.002201500073,0.793934505164414
13.0206029665787,21.6739102136869,-14.0668933654616,0.793764040262465
13.0832396939878,21.6714380670963,-14.131859608842,0.793592089275217
13.1461777407468,21.668943505931,-14.1971010586056,0.793418640696571
