condition,mean_tracking_efficiency,mean_voltage_error_v
1000Wm2_25C,0.999930371382514,0.103225806451515
600Wm2_25C,0.999917860444263,0.133870967742034
900Wm2_25C,0.999925464498027,0.12964001870043
900Wm2_45C,0.999905914419859,0.129861751152147
